,date,weight,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,ts_id,action
date,1.0,0.018278609516622458,0.00331606770185008,-0.011076168763866436,-0.03490246795286532,0.0014954260158561153,-0.0011064051272783445,-0.0007879234986421101,-0.001605372628915031,-6.216940608918434e-05,-0.006213615035228139,-0.016055952703656493,-0.044261876533548454,-0.00042797898554992403,-0.010814058512402037,-0.006382347835894816,-0.022247083565888833,-0.011428441206346491,-0.03737973879987012,0.0018542260891395096,-0.0018454084616515293,-0.0045302540676884235,-0.010042163021864411,-0.0011113855154285736,-0.004314175486351667,-0.0036447169585709315,-0.007375771820815144,-0.004697835560480285,-0.00879183375256171,-0.003739616770957866,-0.007364373223432855,-0.009916323162393234,-0.016632484912589403,-0.005033589532907265,-0.00945400849467497,-0.008690664599692493,-0.013483284257530308,-0.010700212210704848,-0.016145332574741864,0.002904329892122914,0.0005094408019695785,-0.001985386157202296,-0.00444916587376207,0.05746827189393125,0.03708107163035376,0.04760437365962875,-0.03160751843980493,-0.016857741828471072,0.004454970281218372,0.008298862968235562,0.0014070593959941,-0.00762466313140052,-0.012581381521767729,0.003884821717040548,0.026020353452993496,0.002154351137082117,-0.0455619238745481,-0.04709299501835601,-0.03132663288154842,-0.04200145836486229,-0.0375146140068532,-0.03378466676498252,0.01227844492782841,0.0100034449015808,0.005652862201145156,0.004935370193663846,-0.019952909013927808,-0.024189699927797254,-0.023455500177332007,-0.02221635678410754,-0.022130791361296635,-0.013653423643380468,-0.04825707333974947,-0.04296080831041088,3.845145243190019e-06,-0.002214693058937846,-0.0005016850718611113,-0.0009252483965305526,-0.002654322059669115,0.006133100784111159,-0.006261349379726125,-0.0026931654943837422,-0.0032185781208161775,-0.002061564308086135,-0.003640450337342191,-0.007481686931323506,-0.023376761590091766,-0.020621224606922818,-0.01869489609894293,-0.020142048162361835,-0.0199152086325024,-0.031746911808214776,-0.005341944749082645,-0.009934994579401137,-0.0030999820366229003,-0.003585950123755828,-0.007948233138887857,-0.01641351964665299,-0.023469835825182268,-0.015780382211452233,-0.019313956290973478,-0.016222839827082627,-0.015571224453961348,-0.030824813607734387,-0.0023617628167330253,-0.005025052146055562,-0.0013171489901779598,-0.0014536117564625357,-0.0018841415959593966,-0.015028272170898138,-0.02755247150787315,-0.04062963438148579,-0.022601987237700134,-0.02520794754048881,-0.03741040163611794,-0.03283688974692335,-0.004905339793472069,-0.018518757386229476,-0.0038425442941613934,-0.0071797539250534346,-0.012953989732993242,-0.018301829575886223,0.010123893023154442,-0.048501172175271334,0.011077550877953826,-0.040146443121381124,0.010583967703905857,-0.049855188809396,0.011373629851042755,-0.046376223892831,0.011326749792886755,-0.04240738804686528,0.9989524475691492,-0.0022114365183773612
weight,0.018278609516622458,1.0,-0.006994803562881881,-0.014746437037069498,0.06424144771609237,-0.0016258691691112695,0.0014904167192816866,-0.001677998283701103,-0.0005147172629036561,-0.016518337529322663,-0.0012974881068022106,-0.058373091214448336,0.01920181624735815,-0.024772049683199016,0.002146857438805106,-0.03645365567431331,0.008810730642695993,-0.050292856308646154,0.017054887762065842,-0.011769667702815335,-0.0027777830158072815,-0.02427968591415443,-0.0067916574960739185,-0.011089664793789155,-0.0007751762413886483,-0.010911275992169293,0.0024745694334463476,-0.01710830973102838,-0.0025913902168604648,-0.010312474973365349,0.0013058600157405116,-0.025197734756539657,-0.004945407791977396,-0.009546894093188577,0.005811039275027476,-0.01093482583574049,0.006223647618100055,-0.015772337734657912,-0.00033037018728771916,-0.004064964635037164,-0.0017118233649475172,-0.0013269190077502544,0.005225792495774216,0.34880320224793354,-0.20689315026228908,-0.16290744220280431,-0.004831610920680601,0.0737558448016695,0.0863564510270541,0.05893757422456646,0.06862372246473633,0.08373342146998591,0.2740929313287616,0.5665928683013233,0.2885063164619933,-0.17308264876917026,0.02325407561897699,0.00807110995187151,0.0006248990775849338,0.009531520274009792,0.012512863740802835,0.010520870266024197,0.01308512752695628,0.01192356982878614,0.004282715002468925,0.0031139542925004175,0.027802691433073547,0.02166700847790624,0.022085110104445166,0.02467850461691651,0.025242383428965856,-0.013744765305713962,0.2477284079206496,0.07416181623868374,0.0021566908843950725,0.004152509478149951,0.00033182450922298543,0.002668698117399062,0.004227477878568508,0.01604595651720445,-0.00016818879077466048,0.005343402085998719,-0.0002601052662025186,0.0026977445290844847,0.004899009309489284,0.007271632422460709,-0.04095740372597034,-0.03723933239208557,-0.03929679096587007,-0.036598613362256414,-0.0389050925465048,-0.027446336557503868,0.06109197612073407,0.030080786680666126,0.048258517261606224,0.039905702288117594,0.02629703580639983,0.08319188764296286,-0.042382135032699705,-0.04206660140961107,-0.03857323269177781,-0.040618211805500265,-0.0431942721263155,-0.030910364588181072,0.06572712627341551,0.019404444901186382,0.04315056416733021,0.0333490062367601,0.01975907445322652,0.07949816338944389,-0.044304756011398404,-0.05696560579070106,-0.046251642554270014,-0.05451514695713739,-0.0656290700579248,-0.028264561023091342,0.0631159299230171,0.06023473958784404,0.05965969279117307,0.05717042467645528,0.047876794544104685,0.07511118909655193,-0.21381705052714636,-0.024475414751575685,-0.1994586740922991,-0.006160988976345237,-0.20893152357228426,-0.017613144720860223,-0.21562067428007636,-0.01407712941813993,-0.2070225179018103,-0.008793534264485548,0.01817092063944181,-0.0047062633104822515
feature_0,0.00331606770185008,-0.006994803562881881,1.0,0.02252386511436537,0.017631970606596187,-0.029921770043956384,-0.01598321447115141,-0.016877182104841626,0.009322785034086307,-0.01757235965742057,-0.005501771590253199,0.031744027644333137,0.026407135053669623,-0.004060118530441458,0.0015983082268832612,0.017113379821709362,0.01642685444557605,0.03078389369638092,0.02622341760858506,0.6505529188555318,0.6603905924060681,0.6998210566055859,0.7354783590330797,0.7039756269928845,0.6221765318619884,0.6962585293550482,0.7101818455036922,0.714088433336266,0.730794453226725,-0.6364765190497645,-0.6730633811568315,-0.708866694326952,-0.7422647013321055,-0.6483393740204264,-0.6868509068713378,-0.6856646010435932,-0.6690362531831631,-0.7331017221667364,-0.7297974137720616,0.7074202412828765,0.7392035895691037,-0.7065589041027166,-0.7609288389646127,-0.0060956774725580845,0.01117801195532108,0.008058004826017404,-0.005663408851457576,-0.0050578683549782864,0.010802418881944074,0.011228157054977927,0.00953011412597084,0.006350723378970708,0.0056083504689618995,-0.0028080317313661767,-0.020330522679544813,0.01416718763318181,0.0014793503025010194,-0.001982935118673594,0.0018514988997380471,-0.0006631561936549168,-0.0007272889516470046,-0.00045067110825859543,-0.007501236447568017,-0.007912855395418469,0.007617157593664188,0.0072998997245551514,-0.0038993993581196876,0.027849561331057333,0.019427341708122405,-0.04119061062910754,-0.03838705962364552,0.02781957752164437,0.01838986763552503,0.02278455550975693,-0.12412660812985103,-0.591330800151805,-0.21817984369875715,-0.37691267615745944,-0.5424912827567621,-0.01865347856902398,-0.13241579043690235,-0.5186270235165854,-0.2045125341980071,-0.3495046643630755,-0.44278448262722725,-0.012693847996767982,-0.04464106213301076,-0.5209573421849503,-0.10718697268182419,-0.2925630079495336,-0.46027699649475845,-0.008323944718832401,-0.05419556410991168,-0.5201878756166173,-0.12257597200987395,-0.23148573422731913,-0.3635046884254988,-0.01216959795786813,0.06132361406800686,0.5296393285653721,0.14875088144190807,0.23623189233032452,0.41932072302453416,-0.001130547002775905,0.06431419838627842,0.43836033012153053,0.11223556371720182,0.21863123651414373,0.4027999610298807,-0.00195388446100414,0.00959637265379272,0.02334669886450577,0.00832471465990596,0.011770098932535712,0.021346147730637473,-0.0037652171273328846,0.003116732649995064,0.01906472382219433,0.004119310835748666,0.0083458173856147,0.015964012593457897,-0.0068974353299718376,0.013087898490247463,0.0012251221123141796,0.01400706818821133,0.00015862694374626187,0.0136417176240238,-0.00034689688094050356,0.013649600848622,-0.0006025303238449876,0.013837450282811138,-0.0003323253678882026,0.0033101436245176023,-0.014756043722831404
feature_1,-0.011076168763866436,-0.014746437037069498,0.02252386511436537,1.0,0.8620610745259315,0.008903479373870421,0.0013832866449512394,-0.0021011064714881165,-0.009668277322256743,0.1110429931158194,0.07208795200859286,0.7258579409461394,0.5760441847976318,0.21303462240712273,0.15467481268503955,0.39312575459541566,0.27386406883473546,0.6195576690699206,0.4815655551361008,0.11265260320125428,0.07939883581103985,0.27465849559530037,0.2179421911902517,0.1524574264283558,0.11377781424051803,0.19710981843569444,0.15266019254002103,0.23967964891652516,0.19408711861409456,0.05455314752221471,0.03906405106422731,0.21358996687602308,0.1649648242139319,0.09972745535517136,0.07442430851345971,0.14513152226052492,0.11362445128409918,0.16752270310873213,0.14844733178610053,0.046444286588183205,0.030500562592721513,0.0005599914091362831,-0.002538719684064731,-0.3349270985551272,0.4537727014513987,0.35398089996396026,0.009627823796924543,-0.1848291966748508,0.25876786563499443,0.48229418756812165,0.31351499195411836,0.1689084961752602,0.0947690353560896,-0.00954804937627163,-0.15082588571581754,0.4724083185336314,0.06425622351638209,0.0680612163103827,0.05652344836289754,0.06886411345459449,0.06850719133977375,0.05315197285705171,0.02988561330766772,0.03087102356332871,0.03179153259357257,0.033741242521253906,0.0036961069969737824,-0.021586540848428565,-0.02165665273282172,-0.01944701224948786,-0.01979365447030383,0.9041426269042508,0.5302104573737142,0.746275707999845,-0.009955109946454526,-0.042511534473042935,-0.013962630190833452,-0.028951667297074345,-0.04114955323036423,-0.032986114041172375,-0.006990601888591299,-0.04131867077103078,-0.0111838581723956,-0.024081285542613354,-0.03650339064015988,-0.018606259055783225,0.0983847340691503,0.15911684345195842,0.11601607123127884,0.1388880498819141,0.14780065953176488,0.0816261011233923,-0.11592793848254851,0.03696972943149895,-0.07304086870102418,-0.039395718958736,0.007424430851359686,-0.13788161693734166,0.11028798877700563,0.213771259269776,0.13728796796902293,0.16182791394688742,0.19986677453407287,0.08252763129833837,-0.11471901295068909,0.09708091193584548,-0.05582773709688642,-0.008431268639108364,0.05379749328036014,-0.12915579185343548,0.13169529424618973,0.39866242695518084,0.152546962355001,0.2149656959786256,0.3533856146758079,0.08975638556176782,-0.11084235880888794,0.16901634607637134,-0.06183659282063127,0.001410740571149587,0.09869160378549137,-0.12665934928705627,0.43141155481882315,-0.04889130566493219,0.44017191184958526,-0.02418160119172263,0.4399784731270475,-0.043463718842738766,0.4529575855268488,-0.038471278030342636,0.4473346507089937,-0.03173486555602453,-0.010542081561992789,0.015715649113289567
feature_2,-0.03490246795286532,0.06424144771609237,0.017631970606596187,0.8620610745259315,1.0,0.002505626084619046,0.004682212214423362,-0.012744051365598945,-0.01670266269468367,0.07433381317770563,0.08765808460797632,0.5503881355595587,0.6660803913884547,0.1504658961208869,0.18041639924234917,0.28980010271727036,0.31947926175981567,0.4668340630414297,0.5533299535099547,0.07591366917479414,0.08418768220327998,0.21033199632776056,0.2433808224541187,0.11066730769115145,0.12598235948042,0.14795014723879096,0.1655351869796694,0.18536575840460032,0.21536319940379525,0.036093063179439513,0.05185204365674705,0.17058649932217845,0.1984517686142399,0.07365841656583855,0.0904597979581424,0.1141388487580935,0.1396993364741492,0.1376552911931167,0.17897020101148847,0.029424030515677817,0.030558202953782525,-0.0016350774574150214,0.004263897878876348,-0.23566419912498085,0.1535073392981994,-0.06479371361901433,-0.0016732021748165312,-0.1889528539165333,0.1354423234429767,0.2302399736548968,0.20941463650415926,0.1827305264827588,0.09575206919351309,0.07904567302727442,-0.14210357177965743,0.24588117477880359,0.14967738891409524,0.05748374970918439,0.06925340527415234,0.05826819358531187,0.058632055387408705,0.05320186729780446,0.014201447501128705,0.015441991189040006,0.026164000997558754,0.026920644507181474,0.0009839177336414492,-0.019653887361630037,-0.01863376849132242,-0.027683618548266925,-0.027723709238993307,0.7424785362144377,0.6956065907240493,0.8827262649241792,-0.0020318672287122637,-0.03213137618419585,-0.010304560375778732,-0.02243763359334075,-0.031671972238546044,0.011211903813665804,-0.000434750904008911,-0.02921599843835158,-0.008068018995712824,-0.017773709732724127,-0.02703481662230922,0.01819871119616168,0.06944706425401034,0.18169837704070657,0.10274040719264066,0.145122054339637,0.16855345847265019,0.01510210120913835,-0.1423958958069927,0.04726418228010129,-0.08320955377727354,-0.03806910947520046,0.017006420932281156,-0.1996120224993278,0.07563254440201443,0.2196382162140654,0.12138308064604889,0.1576797545615577,0.20634211682351333,0.009839673632070821,-0.14830626151691162,0.08874316253606464,-0.07146316475518136,-0.01510385094443351,0.05062569645861152,-0.1998217708550827,0.10133770237891083,0.41263537010165036,0.13556031022363454,0.21282717634022177,0.36616489387485207,0.017998464108551646,-0.1449871540803927,0.16297564435786588,-0.07934396763023642,-0.006193919457785454,0.09649649106700277,-0.19405674508066206,0.17699552628287255,0.03739280819835152,0.20512966204508842,0.0724879492041474,0.18476759949667615,0.05170105561248081,0.2026782663906283,0.05933569536271402,0.20503523293813547,0.0667559600463082,-0.03337676654693517,0.015332702850361408
feature_3,0.0014954260158561153,-0.0016258691691112695,-0.029921770043956384,0.008903479373870421,0.002505626084619046,1.0,0.9112662878316994,0.7222167337914861,0.6010967286922928,0.3835345810552797,0.34697488275752864,0.050180422433981846,0.0449440905437124,0.24715706804826804,0.22399145270454512,0.14696279125060516,0.13501138538970017,0.07413478718130809,0.06599197857002895,0.13019190729718239,0.1385047802152751,-0.0028850192271516633,0.009007999994057044,0.05449962114968862,0.08205607572078678,0.018928787700366795,0.03556125772388854,-0.00316751042769363,0.013195319363887476,0.2110647511161858,0.17416984537874106,0.05640249455222431,0.03548030611883982,0.14936016229919494,0.11672919179135069,0.10275717102254632,0.07671074033167832,0.06649304259643415,0.04524547110353096,0.42125860301916745,0.4155561931689327,0.4693061881469457,0.4227502700532144,-0.01096857576235563,0.025518807092960814,0.014318595352918833,-0.02655733009012241,-0.022023145656080146,0.01213789119204839,0.018757444863043142,0.01315205394355664,0.006874054116329422,0.0010325839444433934,-0.00039449119955912754,-0.028808978150221053,0.04000783317361488,0.022616121426786748,-0.001319801415298865,0.0069676712474622485,0.0021890263204981148,0.004316754218003692,0.005551597559196168,0.018130483372666494,0.01804999010370347,0.026196481785648474,0.02600374487345661,0.018063194968380873,-0.012388640360686624,-0.004940998022717525,-0.022169725460125352,-0.019805514028926368,0.0366412095044528,0.01467279451227148,0.030276675752702882,0.0003375622991040452,0.014405419715272922,0.001384686647341758,0.0018027687557446623,0.009534452469699835,-0.004532531077987267,-0.0033777991527726803,0.014642325600213755,-0.0006806005501276283,0.00169484835664221,0.00972825727000514,-0.00605490684871714,-0.017123478065162973,0.044973319844935605,-0.0028016030899235874,0.011058472444210335,0.03553043839038085,-0.017809628703488973,-0.020084093160079343,0.04130885722656025,-0.00684386581344489,0.007965136807293337,0.0310003731128631,-0.02088000160593853,-0.016045977150544833,0.01852236090459734,-0.002822427128673283,0.00996009122766226,0.021835116513576606,-0.01527220448652051,-0.017670883629765953,0.014746177677005298,-0.004509210025762911,0.006381581775618281,0.01278458403054302,-0.01774024170441604,-0.012977233505956844,0.05518546762028353,0.001999782305528868,0.020558100060138244,0.05005398650807321,-0.016450636772280355,-0.01597252312197629,0.04748112543922111,0.00010964706482546568,0.018461615598485165,0.039336717014552956,-0.017715585586474507,0.026072262789753,-0.0023069621645455465,0.03531799784314939,0.013711737223050564,0.02969727935004416,0.0019766231175721715,0.029981027606902546,0.005004451958865097,0.032303480857511405,0.009010865473004634,0.00134784382785136,0.0028532817024051636
feature_4,-0.0011064051272783445,0.0014904167192816866,-0.01598321447115141,0.0013832866449512394,0.004682212214423362,0.9112662878316994,1.0,0.6543866710800667,0.6561642280751819,0.3689187061690389,0.413000675247057,0.03867930929485043,0.05100416993826616,0.2411997278337449,0.2670967583734829,0.1411970036509258,0.16361451149255812,0.06502635410220209,0.07726540351273367,0.15282837937514293,0.18907015405626074,0.007055114085690722,0.020297773583016484,0.07796230235262416,0.12106777268713857,0.039472110573944,0.06050939469207558,0.011913646856524558,0.0292103984572337,0.17761038120812273,0.18153794680152058,0.036179296140721594,0.028897610781367374,0.12394499920273165,0.11901005485313601,0.07946130364407288,0.07656445829566991,0.04498607196529662,0.039389958769371715,0.40549399570097505,0.46826480441183055,0.41087912057959036,0.44706212067903334,-0.00433553791717843,0.007346989007129605,-0.004946553006823454,-0.026445752394644542,-0.02096894858150994,0.003964419706155106,0.005052344632155774,0.006553265373080854,0.007012717979701841,0.0009935167972482447,0.003978056977679069,-0.02580453090147511,0.025356985356706885,0.03154957135987903,-0.0031426994656671673,0.007962001810646744,0.0009832361412298277,0.0034923905884783712,0.005748599209650489,0.02494376965404468,0.025076576936793438,0.02798609104913422,0.027669615001764993,0.022758917665372698,-0.014242778482605647,-0.006533400228817739,-0.019694407179492578,-0.01721998016257209,0.026603390515825727,0.022298503402198327,0.03478650990249796,0.0009331633029480482,0.008596639972320696,0.0015861713331416785,0.0007153589761497362,0.0044696172762002636,-0.003742583456389023,-1.8975399769187996e-05,0.009518620628159733,0.0019102064485533332,0.002209981603861278,0.006175223931009462,-0.0032421520119029633,-0.011441879780034256,0.040134436642626954,0.0038000173023899258,0.017144700147884613,0.034929830869331206,-0.01602865837717466,-0.011574812161408642,0.03649971442588498,0.003139207090431618,0.016886786132195974,0.03226481596339448,-0.016760194381314698,-0.01107448137902216,0.023547011035015265,0.003384658246280691,0.01637130452735307,0.02745631760191736,-0.013980453984162255,-0.011289022233761466,0.019078841416863977,0.0035041712927074346,0.014081649788519782,0.019130974212414293,-0.014620508786360686,-0.007780758248069431,0.05341321772965482,0.008258896278017588,0.026890518022437616,0.05164955779196964,-0.014762245754450893,-0.008951522974024668,0.04663604679550246,0.008459384830430142,0.0264632970212748,0.04281502681511772,-0.014425668322135288,0.008781512931818716,0.00040754883422217553,0.019716201469993186,0.02149097550204943,0.012418480455187529,0.0068819523966419695,0.013730309315996716,0.011276567984060482,0.01642997885993836,0.016215702374715493,-0.001195320013089632,0.000940712265527816
feature_5,-0.0007879234986421101,-0.001677998283701103,-0.016877182104841626,-0.0021011064714881165,-0.012744051365598945,0.7222167337914861,0.6543866710800667,1.0,0.9122128178931319,0.2945958950238293,0.2631087327358414,0.034007889196440766,0.02399711717573698,0.1881381453306953,0.16667734593374786,0.11239135283587237,0.09853911950080099,0.05291094521601532,0.0407707574373105,0.07992532580987653,0.10413801795749988,-0.0035909114729266267,0.016184112867445404,0.029754401524722543,0.06422838177916722,0.0053259061946851856,0.03266051017223798,-0.00785253689846568,0.017191815938257263,0.1897831349731299,0.13807268990032542,0.04520218303342014,0.01460332616194011,0.13197716853238195,0.08689905807856481,0.09083124770535629,0.052686811006558094,0.05628578753977444,0.024020992110546,0.2983166332927307,0.31194759817820805,0.3655498457381229,0.30673949361490377,-0.0037057723986872906,0.021364557596033854,0.01668229946226314,-0.0277808982438808,-0.021709510317667095,0.0038920926889398602,0.013321702552764375,0.006720340716484855,0.0007869547411041833,-0.007454993433160539,-0.0027746113429286895,-0.026243097737933086,0.03302368211893633,0.016640408745778566,0.0031412149029581746,0.008754661727875172,0.0052279951571495824,0.007253680748310258,0.008116211625581606,0.014473702383215863,0.014762558765466253,0.021156696113109937,0.020918627494683553,0.01903133133939652,-0.005150870012589745,0.0004362579202215585,-0.013333456272386978,-0.011537215823588066,0.02421853028365017,0.003885902547318359,0.0138011592814356,-0.004732564594109693,0.008555892750886775,-0.0008409162520217151,-0.0027110049230410454,0.00217332520155309,-0.009657954367083232,-0.00386368571066677,0.008130684378092308,-0.0013019474746064697,-0.0025884421284869574,0.002865322586322825,-0.00576593735557617,-0.021421716226884845,0.03353340327862083,-0.007329628526019317,0.0025110607578343906,0.023785295834309356,-0.019993751974490926,-0.022551810129288488,0.03314900383368488,-0.00906154048820242,0.003875568785530025,0.02415691776653863,-0.019647225317761818,-0.01807363507949043,0.018835904587187556,-0.0057201613286391425,0.0083066322285984,0.021971001885161014,-0.015804693292148064,-0.01949866048317961,0.01872966463661526,-0.00566019302276494,0.007393881175552101,0.01737572201529113,-0.01650737489802204,-0.018751233230348822,0.04407914095580688,-0.0027688729091485177,0.014118618007331175,0.03973300556158287,-0.018511728527890816,-0.01882563858152239,0.043636232521575065,-0.00265842151551708,0.015187442839687695,0.036187443719865424,-0.016597306839283028,0.02296373021371408,-0.001371596954095053,0.029897129202149215,0.011378657246503754,0.026739125822764376,0.002962863170949526,0.02563250791297123,0.005231334157266489,0.027148467034822748,0.007615606939347375,-0.0009153171182601157,0.007653757185417453
feature_6,-0.001605372628915031,-0.0005147172629036561,0.009322785034086307,-0.009668277322256743,-0.01670266269468367,0.6010967286922928,0.6561642280751819,0.9122128178931319,1.0,0.26050921318574505,0.28884831198097694,0.021686406940698715,0.021018496801209582,0.16761057208873767,0.18121155710416034,0.0980532445330717,0.10753243000948644,0.04057240006852268,0.040390886121238985,0.1070907113211463,0.1470781940328095,0.013453963887601889,0.03167551168227606,0.060330261207897376,0.0995758687370621,0.033839964111045825,0.06067301628609261,0.015073257557583071,0.03749192777672514,0.13225965891796698,0.11666238845481917,0.016862745859916584,-0.002166425559425333,0.0865568259732347,0.06569737241082262,0.05167161410940322,0.03392285253751631,0.02366725231334463,0.005264245866709229,0.2800864990597528,0.3395741555049118,0.2753787758807806,0.2798833734168324,0.0021866166853194676,0.00888069090840982,0.005816223228697959,-0.02842591631495552,-0.020163360793566242,-0.0014637311642639163,0.003610838750784398,0.001443620341091849,-0.0004032593011316515,-0.00722258103228257,-0.000241108887306696,-0.022917113763627633,0.02037057298903337,0.01944510553951674,0.0010330700018650087,0.00838759942657815,0.0034219097302261897,0.005567801227190882,0.007296315376576319,0.018913696477525183,0.019473806394894714,0.020698185259327526,0.02039506465522897,0.02260013745085245,-0.005422171041699415,-2.0259955467503995e-05,-0.009408316660404282,-0.0076109432691973304,0.013825809034870849,0.004194612047847563,0.010871981874887346,-0.0030115153094686883,-0.0028889036379397375,-0.0010013144635527581,-0.007005331971862932,-0.007561469306065617,-0.008127557816409161,-0.0016796173361913994,-0.0017065634556054806,-0.0006290038776611673,-0.005876389721035953,-0.004838534179507068,-0.003317265192259419,-0.016060962259333213,0.02235784130358586,-0.0012930741241811688,0.0054034823713967174,0.017943518059456393,-0.01793044132882241,-0.01449837170186795,0.023307244082005664,-0.00015338984573353364,0.01003336139683268,0.021574941582144604,-0.014897516852515913,-0.013933932220075475,0.027214686227064574,0.0001290284855166084,0.014956957469979458,0.029178425541915635,-0.014329441789508932,-0.012958665911785953,0.02654099497288606,0.002698295411549766,0.016198280374448083,0.026380223309153412,-0.012621844342426698,-0.014471249818658266,0.03982257447591968,0.00296611951425048,0.018762938525929265,0.03879117256939839,-0.01667877090185925,-0.011892616011438572,0.04209679915484087,0.00530673180112053,0.022295231923454686,0.03880761793659216,-0.012614088497824893,0.009351196028947281,-0.0016812210438585423,0.016830978871615363,0.01427784314428586,0.01283896165476117,0.004166729987090514,0.012398081532775482,0.007466038679325683,0.014112295857026742,0.010329245708797332,-0.0017530102604417517,0.006854378481944912
feature_7,-6.216940608918434e-05,-0.016518337529322663,-0.01757235965742057,0.1110429931158194,0.07433381317770563,0.3835345810552797,0.3689187061690389,0.2945958950238293,0.26050921318574505,1.0,0.8980269301033899,0.19368604727462693,0.15601648432465404,0.5996692098656112,0.5374063143221302,0.38080111920001236,0.33672008477695436,0.23459250834783404,0.1957104242272649,0.4223475312147751,0.40094674870338987,0.05456522439973398,0.053859561328087315,0.19865251445336213,0.22476681514716054,0.1100388808050372,0.11738178840938027,0.05653585701434811,0.06407461803348254,0.47921449893942253,0.41445305543025696,0.09359931029739943,0.06207477390891724,0.2864675914350945,0.2356211384729861,0.17839536009149876,0.14530763864015922,0.10466478568306191,0.07973109257566938,0.24613280542094307,0.248279133528208,0.2804945451463187,0.2523501736192741,-0.07180400378125397,0.11877859859797907,0.08743768382563939,-0.027845260619149333,-0.05721365016016706,0.053341055144641374,0.10099223910896774,0.06163178402156552,0.029680673592655228,0.010821975852099515,-0.011229113691922036,-0.04927950637437186,0.15089584478042864,0.05798544327127255,0.008336952057612815,0.01404502815052165,0.01107161633831736,0.014920595164212675,0.012549661400794785,0.01804674549028725,0.018262049054539584,0.03308722593948427,0.03340787261873352,0.01449973115600772,-0.014697237936353167,-0.008587425799841394,-0.029136994426835996,-0.02706423112637433,0.14855763783656178,0.048716108607775296,0.10865147333109763,-0.005557617422423825,0.006914037585999108,-0.0012887155534181155,-0.003525185748070287,0.0038890582131850615,-0.014153711981693195,-0.006579202444473708,0.004756308272090776,-0.002782070897531632,-0.0034240814911011596,0.0025347225976129297,-0.011496158808466495,-0.015324030995242694,0.0602836067709228,0.003947880865985995,0.01971162493692259,0.049082911478011484,-0.01122121664232821,-0.050060635899820204,0.03651000643318624,-0.025006502533007288,-0.0038446603060692365,0.02723692025278681,-0.05187900042049136,-0.011221719349990828,0.04527476957416048,0.006598587198298315,0.026762085435983848,0.04493817716791756,-0.00761639727348099,-0.047539613920572224,0.026686433177170243,-0.01792953379415783,0.002045729680295342,0.017856878940473348,-0.046202893480433944,-0.0026991973749911128,0.10485784435697261,0.018275440010968647,0.04786162688390677,0.09565584180463264,-0.0074385206970276905,-0.042299538943427424,0.06252653616618192,-0.013171048212766224,0.015158127392934801,0.048522318847754056,-0.04748859479679811,0.12418587341183743,-0.003449999574931925,0.13906797732251094,0.03382255970138928,0.1312769813693468,0.011369124241569696,0.1334285233755565,0.020479415693297868,0.13610003199853302,0.027316765398611605,-6.406755323091129e-05,0.019644664529357078
