,mean_fit_time,mean_score_time,mean_test_score,param_clf__n_estimators,param_reduce_dim,param_reduce_dim__k,param_reduce_dim__n_components,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
1,0.9877575397491455,0.15857515335083008,0.5797466334376244,25,PCA(n_components=0.85),,0.85,"{'clf__n_estimators': 25, 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.85}",1,0.6272912423625254,0.49732620320855614,0.6165523996082273,0.6432776077230986,0.5142857142857142,0.08729586698484358,0.019735835087301836,0.06120391851874533
24,28.391619539260866,0.1266611099243164,0.5217891240815304,50,SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>),10,,"{'clf__n_estimators': 50, 'reduce_dim': SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>), 'reduce_dim__k': 10}",2,0.4739545121056494,0.5740381954054803,0.542139662882697,0.5093457943925234,0.5094674556213018,0.44028656989588943,0.009483079359872248,0.033878960887220866
28,28.9742693901062,0.1274592399597168,0.5189783535006435,75,SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>),10,,"{'clf__n_estimators': 75, 'reduce_dim': SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>), 'reduce_dim__k': 10}",3,0.45720806390262453,0.5749218083593972,0.5479265805574439,0.507809903622466,0.5070254110612854,0.6596070830791156,0.01207377201058521,0.040126913098140475
32,29.363350200653077,0.15558385848999023,0.51678518943214,100,SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>),10,,"{'clf__n_estimators': 100, 'reduce_dim': SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>), 'reduce_dim__k': 10}",4,0.500351370344343,0.5404939689833429,0.536332179930796,0.49899531145344944,0.5077531164487686,0.7481179663717974,0.035142806307957554,0.017957280284309044
10,1.8554366111755372,0.27526369094848635,0.510615195383887,75,PCA(n_components=0.85),,0.9,"{'clf__n_estimators': 75, 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.9}",5,0.4592538935168417,0.4893746205221615,0.5736750145602796,0.5174870466321244,0.5132854016880275,0.12207273529351109,0.01421690088947324,0.0377360265151969
25,28.476948833465578,0.1333462715148926,0.5085441185648134,50,SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>),20,,"{'clf__n_estimators': 50, 'reduce_dim': SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>), 'reduce_dim__k': 20}",6,0.5192572214580468,0.49418777943368103,0.4990675121223424,0.4860691507217187,0.5441389290882779,0.13196970048735732,0.015069693694524324,0.02089399833571377
31,31.069298124313356,0.24614181518554687,0.5058709659909169,75,SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>),40,,"{'clf__n_estimators': 75, 'reduce_dim': SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>), 'reduce_dim__k': 40}",7,0.6688963210702342,0.4951856946354883,0.41123882503192855,0.4737215909090909,0.48031239830784245,0.09529944351028438,0.007658674390169043,0.08641007606213609
5,1.3669429302215577,0.1667543888092041,0.4938102131754073,50,PCA(n_components=0.85),,0.85,"{'clf__n_estimators': 50, 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.85}",8,0.476224022543149,0.404277337012763,0.5325097529258777,0.49452054794520545,0.5615194054500412,0.027245140994937814,0.04880782704202836,0.053680729663029524
33,29.19537434577942,0.23936014175415038,0.49359752864975964,100,SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>),20,,"{'clf__n_estimators': 100, 'reduce_dim': SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>), 'reduce_dim__k': 20}",9,0.4859205776173285,0.5080713678844521,0.4871794871794872,0.4828289697381843,0.5039872408293461,0.12935384187306376,0.01133582440108961,0.010329829000200536
20,29.53048062324524,0.12307162284851074,0.4931229752878954,25,SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>),10,,"{'clf__n_estimators': 25, 'reduce_dim': SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>), 'reduce_dim__k': 10}",10,0.453781512605042,0.46299212598425205,0.5298013245033112,0.4898660254208176,0.5291738879260542,2.3977091442548515,0.002326192978778594,0.0319724759486469
6,1.4529128551483155,0.2618993282318115,0.4874056921297594,50,PCA(n_components=0.85),,0.9,"{'clf__n_estimators': 50, 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.9}",11,0.5526802218114603,0.5039787798408488,0.5086352861496783,0.41348855881172214,0.4582456140350877,0.10956735441675772,0.1126210391589528,0.04753983566681975
29,28.984183692932127,0.13902783393859863,0.4865493911301626,75,SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>),20,,"{'clf__n_estimators': 75, 'reduce_dim': SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>), 'reduce_dim__k': 20}",12,0.4906609195402299,0.5027834749487254,0.4321608040201005,0.46084546084546085,0.5462962962962964,0.18516609764453487,0.017212119372988343,0.03864958799298
7,1.8370856761932373,0.2704765319824219,0.47828002009488585,50,PCA(n_components=0.85),,0.95,"{'clf__n_estimators': 50, 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.95}",13,0.5526069310021855,0.40716040716040713,0.49012131715771223,0.360352422907489,0.5811590222466355,0.15510556513925483,0.0711899395185704,0.08392104933475805
21,27.665201139450073,0.128456449508667,0.47756160108131657,25,SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>),20,,"{'clf__n_estimators': 25, 'reduce_dim': SelectKBest(score_func=<function mutual_info_classif at 0x00000252F8BDCC80>), 'reduce_dim__k': 20}",14,0.3165201295696437,0.5488243430152144,0.5478812145478812,0.4485847366535292,0.5259975816203144,0.19068017481788352,0.013101368977387746,0.08847969807307196
14,2.26933012008667,0.3031900882720947,0.47478897633561257,100,PCA(n_components=0.85),,0.9,"{'clf__n_estimators': 100, 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.9}",15,0.5107238605898125,0.45057766367137353,0.4388888888888889,0.46045824094604576,0.5132962275819419,0.09777382990963802,0.050329986069279894,0.031159262575755572
