,mean_fit_time,mean_score_time,mean_test_score,param_miss_values__strategy,param_reduce_dim,param_reduce_dim__k,param_reduce_dim__n_components,param_scaler,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
12,0.0942678451538086,0.01777515411376953,0.5678560094120344,constant,PCA(n_components=0.85),,0.85,StandardScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.85, 'scaler': StandardScaler()}",1,0.554675118858954,0.40480961923847697,0.5706521739130435,0.6467065868263474,0.6624365482233502,0.008928943960951395,0.002452478844169485,0.09157354600617613
0,0.16316380500793456,0.019547796249389647,0.5669308859860015,mean,PCA(n_components=0.85),,0.85,StandardScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.85, 'scaler': StandardScaler()}",2,0.5399361022364216,0.41282565130260523,0.5698778833107192,0.6547619047619048,0.6572528883183568,0.0053000040018414294,0.004617322189500701,0.08984228232216965
14,0.10475821495056152,0.01291065216064453,0.5618272995974245,constant,PCA(n_components=0.85),,0.9,StandardScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.9, 'scaler': StandardScaler()}",3,0.5612403100775193,0.3951612903225807,0.5880794701986755,0.6115942028985508,0.653061224489796,0.010027886538294624,0.004700686986195395,0.08861992256939354
31,0.23382101058959961,0.013296747207641601,0.5603477745814484,most_frequent,SelectKBest(),10,,RobustScaler(),"{'miss_values__strategy': 'most_frequent', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 10, 'scaler': RobustScaler()}",4,0.5459854014598541,0.5451664025356577,0.5730824891461651,0.596546310832025,0.5409582689335395,0.007753212178433664,0.003944572844518119,0.021378548734074628
30,0.15903825759887696,0.014925527572631835,0.5603477745814484,most_frequent,SelectKBest(),10,,StandardScaler(),"{'miss_values__strategy': 'most_frequent', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 10, 'scaler': StandardScaler()}",4,0.5459854014598541,0.5451664025356577,0.5730824891461651,0.596546310832025,0.5409582689335395,0.00956635095024179,0.0041552832859345435,0.021378548734074628
2,0.1424008846282959,0.021175193786621093,0.5601349784849556,mean,PCA(n_components=0.85),,0.9,StandardScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.9, 'scaler': StandardScaler()}",6,0.5480314960629921,0.3943661971830986,0.5899470899470899,0.6160458452722064,0.6522842639593909,0.015311602800553808,0.009985301458813732,0.08959024608652781
8,0.18293514251708984,0.012977790832519532,0.5576560070088815,most_frequent,PCA(n_components=0.85),,0.9,StandardScaler(),"{'miss_values__strategy': 'most_frequent', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.9, 'scaler': StandardScaler()}",7,0.5739385065885797,0.35789473684210527,0.584,0.6218750000000001,0.650571791613723,0.00841785633583797,0.002899030351102589,0.10355782240608324
25,0.1523869514465332,0.02086796760559082,0.5526815190276657,mean,SelectKBest(),10,,RobustScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 10, 'scaler': RobustScaler()}",8,0.5154320987654321,0.529505582137161,0.5652173913043478,0.5792880258899676,0.5739644970414202,0.013625952009436606,0.0024721862613557508,0.02546630249922481
24,0.1577981948852539,0.014696788787841798,0.5526815190276657,mean,SelectKBest(),10,,StandardScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 10, 'scaler': StandardScaler()}",8,0.5154320987654321,0.529505582137161,0.5652173913043478,0.5792880258899676,0.5739644970414202,0.06035981557310676,0.0018669128417968751,0.02546630249922481
6,0.25742406845092775,0.02454853057861328,0.5523576951977474,most_frequent,PCA(n_components=0.85),,0.85,StandardScaler(),"{'miss_values__strategy': 'most_frequent', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.85, 'scaler': StandardScaler()}",10,0.5570776255707763,0.3311258278145695,0.5765027322404372,0.6312500000000001,0.6658322903629538,0.014927327702776282,0.00895462186782181,0.11717446753221125
