,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_miss_value__strategy,param_clf__n_estimators,param_clf__min_weight_fraction_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5,106.03856523831685,20.278821423935508,6.09622597694397,0.8370884391699417,constant,145,0.0017,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 145, 'clf__min_weight_fraction_leaf': 0.0017}",0.47872417776844217,0.4822431494123518,0.48437128940160745,0.48177953886080044,0.0023286145390181336,1,0.5418162966964868,0.5285475894205313,0.5172580604771976,0.5292073155314051,0.010036704985755325
2,93.89088360468547,20.351291651459206,5.737498760223389,0.6230164539268676,mean,142,0.0019,"{'miss_value__strategy': 'mean', 'clf__n_estimators': 142, 'clf__min_weight_fraction_leaf': 0.0019}",0.48293383290901415,0.47769107589479376,0.47719189235515946,0.47927226705298914,0.0025971259037721756,2,0.5360488912899838,0.5261766379788505,0.5121363882448817,0.5247873058379053,0.009811545352929928
9,42.92757693926493,10.34935484028297,3.1981393496195474,0.2769593993562298,mean,56,0.0013,"{'miss_value__strategy': 'mean', 'clf__n_estimators': 56, 'clf__min_weight_fraction_leaf': 0.0013}",0.47181684149136505,0.467282882272973,0.4970223350672942,0.4787073529438774,0.01308225577348489,3,0.5362785082974589,0.522405014801649,0.5243602376059233,0.5276812535683437,0.0061313574196670065
3,106.8682644367218,24.99967695420263,6.265896717707316,0.26195611315491596,constant,163,0.0015,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 163, 'clf__min_weight_fraction_leaf': 0.0015}",0.4799931186865293,0.47513865704593183,0.47743814461965933,0.47752330678404015,0.0019827403428402685,4,0.5395890142187306,0.5241456304657943,0.516065596275175,0.5266000803199,0.009758963093878982
4,131.72641094525656,31.062606587562332,8.071792443593344,0.5356565418110318,constant,199,0.0013,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 199, 'clf__min_weight_fraction_leaf': 0.0013}",0.46219964728201307,0.4695606256090325,0.4868762573468502,0.4728788434126319,0.010343812904891449,5,0.5417771092487165,0.5275227523406718,0.5165773020333371,0.5286257212075751,0.010317298618149048
7,102.25623575846355,23.594911770247865,5.710789044698079,0.138446520402609,constant,156,0.0017,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 156, 'clf__min_weight_fraction_leaf': 0.0017}",0.465111268259265,0.4677627952917037,0.48448540463153,0.47245315606083294,0.0085766700279001,6,0.5357055837359018,0.5232159560356817,0.5172440334771832,0.5253885244162556,0.007691867979236281
0,156.6339955329895,49.356086615913334,13.439867973327637,0.2229073251072814,mean,187,0.001,"{'miss_value__strategy': 'mean', 'clf__n_estimators': 187, 'clf__min_weight_fraction_leaf': 0.001}",0.4646316122391795,0.46743609304207784,0.4826068862045291,0.47155819716192876,0.007896050713848997,7,0.544926165242348,0.5298197777406964,0.5194212017006485,0.5313890482278977,0.010471317927633112
6,133.88149801890054,32.6584142988747,9.284995953241983,2.7149144072467752,constant,189,0.0011,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 189, 'clf__min_weight_fraction_leaf': 0.0011}",0.46009158803823336,0.46940285515320335,0.4788521815278972,0.46944887490644466,0.007659049348510155,8,0.5415397307684567,0.526677335797615,0.519962812044829,0.5293932928703002,0.009015659432972218
8,65.44297448794048,11.181866029638982,4.002159198125203,0.22199521292073662,constant,93,0.0019,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 93, 'clf__min_weight_fraction_leaf': 0.0019}",0.465045104875754,0.4681746535160195,0.47457854719975934,0.46926610186384426,0.003967793279079367,9,0.5373198804035879,0.5254977976117288,0.5118637029982327,0.5248937936711832,0.010401213313627578
1,130.69678076108298,18.565732941632046,6.877016146977742,0.21674255293682418,constant,172,0.0013,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 172, 'clf__min_weight_fraction_leaf': 0.0013}",0.4472689345773028,0.4641703401630096,0.4913856897180676,0.4676083214861267,0.018173915515029143,10,0.5402054153495154,0.5224730413158277,0.5196876870031061,0.5274553812228163,0.009087063234284985
