,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_miss_value__strategy,param_clf__n_estimators,param_clf__min_weight_fraction_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
17,58.51236629486084,13.371391004750894,4.042441924413045,0.0851612874459618,40,mean,150,0.0019,"{'reduce_dim__k': 40, 'miss_value__strategy': 'mean', 'clf__n_estimators': 150, 'clf__min_weight_fraction_leaf': 0.0019}",0.5199201335023319,0.5150045761538977,0.514948495337718,0.5166244016646492,0.0023305467919099055,1,0.5357598345067554,0.5288055290813624,0.5300323260839258,0.5315325632240145,0.003030800179797269
4,62.09268609682719,14.323067586617114,4.585060437520345,0.3955501512196303,32,mean,175,0.0019,"{'reduce_dim__k': 32, 'miss_value__strategy': 'mean', 'clf__n_estimators': 175, 'clf__min_weight_fraction_leaf': 0.0019}",0.5164157508526543,0.5137924265277775,0.5121788643882281,0.5141290139228866,0.001745999242844301,2,0.5321815748272609,0.5272166804964602,0.5271663872596978,0.5288548808611396,0.0023524174672857764
14,47.62259372075399,11.3115076081584,3.6644322077433267,0.27998946260500585,41,constant,118,0.0019,"{'reduce_dim__k': 41, 'miss_value__strategy': 'constant', 'clf__n_estimators': 118, 'clf__min_weight_fraction_leaf': 0.0019}",0.5179502282432631,0.51872981806726,0.5040326116641319,0.5135708859915517,0.00675208352694465,3,0.5350361363226898,0.5321193614612445,0.5208015970652371,0.5293190316163904,0.006139322025434375
7,75.6857722600301,19.33650056765445,5.024332841237386,0.2119907154345297,45,constant,195,0.0018,"{'reduce_dim__k': 45, 'miss_value__strategy': 'constant', 'clf__n_estimators': 195, 'clf__min_weight_fraction_leaf': 0.0018}",0.5179450019036859,0.5156933112589348,0.5016142375754152,0.511750850246012,0.007226373687873771,4,0.5349959766814959,0.5300151464686759,0.5191846891042269,0.5280652707514663,0.00660054114939062
16,58.81495118141174,13.513420819601933,4.204590241114299,0.19430687361412685,35,mean,164,0.0016,"{'reduce_dim__k': 35, 'miss_value__strategy': 'mean', 'clf__n_estimators': 164, 'clf__min_weight_fraction_leaf': 0.0016}",0.5049336543363163,0.5187641719168926,0.5113894935315574,0.5116957732615887,0.0056504371271273385,5,0.5227424235690535,0.5318954037056709,0.5268962694786419,0.527178032251122,0.003741996262272746
15,29.64551083246867,6.942730638645871,2.7010040283203125,0.04827491366839314,44,constant,59,0.0017,"{'reduce_dim__k': 44, 'miss_value__strategy': 'constant', 'clf__n_estimators': 59, 'clf__min_weight_fraction_leaf': 0.0017}",0.5082928589687684,0.5071853613869753,0.5180723185629035,0.5111835129728824,0.00489205952309444,6,0.5275995816788143,0.5231302780896265,0.53306486717097,0.5279315756464703,0.004062567336853816
5,91.1279977162679,32.62082547343668,7.20719838142395,1.3234655217913656,45,constant,197,0.0019,"{'reduce_dim__k': 45, 'miss_value__strategy': 'constant', 'clf__n_estimators': 197, 'clf__min_weight_fraction_leaf': 0.0019}",0.5169222750539655,0.5147998053179972,0.5017246770012809,0.5111489191244145,0.006720043360059031,7,0.5344468505567586,0.5291768063141689,0.5195623969397919,0.5277286846035731,0.006162225368346086
18,60.87373367945353,13.816055866135192,4.310606161753337,0.011640665480199548,35,constant,167,0.0012,"{'reduce_dim__k': 35, 'miss_value__strategy': 'constant', 'clf__n_estimators': 167, 'clf__min_weight_fraction_leaf': 0.0012}",0.5114365115960271,0.5174706311069386,0.5038066732287418,0.5109046053105691,0.0055909527778764114,8,0.5298220970046212,0.5322755892154402,0.5214466292680733,0.5278481051627115,0.00463602388758323
8,33.08853451410929,7.93862378135833,2.811974366505941,0.13861314606828398,48,constant,73,0.0018,"{'reduce_dim__k': 48, 'miss_value__strategy': 'constant', 'clf__n_estimators': 73, 'clf__min_weight_fraction_leaf': 0.0018}",0.5144090326832688,0.5084577914733397,0.5037455298324863,0.5088707846630315,0.004363140748987302,9,0.5325229745818616,0.5246604626065736,0.5220283308926721,0.5264039226937024,0.004458260224745351
2,32.340738932291664,6.8208912584146075,2.7661351362864175,0.1430607435889179,41,mean,67,0.0016,"{'reduce_dim__k': 41, 'miss_value__strategy': 'mean', 'clf__n_estimators': 67, 'clf__min_weight_fraction_leaf': 0.0016}",0.5114274103271778,0.517809423607921,0.49427636330111707,0.507837732412072,0.009936987219527082,10,0.5310571654181532,0.5328753019332142,0.5130361192612537,0.5256561955375404,0.00895455746203461
