,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_miss_value__strategy,param_clf__n_estimators,param_clf__min_weight_fraction_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
7,102.41597175598145,27.09361045080002,3.28107484181722,0.15377595447618736,constant,55,0.0012,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 55, 'clf__min_weight_fraction_leaf': 0.0012}",0.4954020105753757,0.48706926071678813,0.5047485861814606,0.4957399524912081,0.007221509111689014,1,0.579654210708152,0.5616408928514788,0.5500844405558832,0.563793181371838,0.012167363070132997
4,97.58585127194722,25.476569535911384,3.091020425160726,0.15836758280549731,constant,58,0.0018,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 58, 'clf__min_weight_fraction_leaf': 0.0018}",0.4686207417790054,0.49119443297999604,0.5033827899277172,0.4877326548955729,0.014401109413344604,2,0.5652929792581767,0.5525842280129496,0.5395642426782002,0.5524804833164422,0.010503968891867948
3,129.01962733268738,35.24486772563789,3.777247508366903,0.325984063832452,constant,74,0.001,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 74, 'clf__min_weight_fraction_leaf': 0.001}",0.48806265025826573,0.46672543694423757,0.5034063329223942,0.48606480670829916,0.015041399903326697,3,0.5878319672665069,0.5679003977513636,0.5558944758994891,0.5705422803057866,0.01317157283136949
5,279.26128872235614,69.26141002150192,7.17536187171936,0.2741478653390611,constant,172,0.0013,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 172, 'clf__min_weight_fraction_leaf': 0.0013}",0.46799432580269473,0.4777470968921488,0.4968647015148949,0.48086870806991283,0.011991190952799633,4,0.5796824220653438,0.5616414784051347,0.5491014264758787,0.563475108982119,0.012551785361197576
11,271.84987751642865,61.77751114880068,6.864858706792195,0.08789062617543543,constant,170,0.0012,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 170, 'clf__min_weight_fraction_leaf': 0.0012}",0.4631674465082489,0.4793590032275013,0.49463176331063513,0.47905273768212847,0.012847078964974688,5,0.581517014938618,0.5631684445842594,0.5511506937927279,0.5652787177718684,0.012486480814026804
2,223.2470665772756,59.30816498441979,5.941069046656291,0.6311435993343856,constant,136,0.0012,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 136, 'clf__min_weight_fraction_leaf': 0.0012}",0.44927052582039106,0.48262702604746854,0.4995170436841777,0.47713819851734574,0.020876997870072744,6,0.5805402097057356,0.5633337969563151,0.5498617905885594,0.5645785990835367,0.01255530430095136
9,164.2883344491323,41.52542377270799,4.45064918200175,0.11703904369914542,mean,100,0.0019,"{'miss_value__strategy': 'mean', 'clf__n_estimators': 100, 'clf__min_weight_fraction_leaf': 0.0019}",0.4603900120636716,0.47706985273328006,0.4935970415269741,0.47701896877464195,0.013556760756835075,7,0.5657014781811748,0.5495772270167217,0.5390976993982954,0.551458801532064,0.010942135787090327
0,112.15848088264465,28.710884012379722,3.307594617207845,0.11655616828552352,mean,65,0.0014,"{'miss_value__strategy': 'mean', 'clf__n_estimators': 65, 'clf__min_weight_fraction_leaf': 0.0014}",0.47283843177178264,0.48192463138388797,0.47579233699451096,0.4768518000500605,0.0037843187253288244,8,0.5745020918405692,0.5564722786130698,0.545098519847525,0.5586909634337213,0.012106043483527163
1,120.94012983640035,31.020267741100856,3.5528811613718667,0.25501296945236235,constant,74,0.0016,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 74, 'clf__min_weight_fraction_leaf': 0.0016}",0.4618380062305296,0.465603094692657,0.5020151880455384,0.4764854296562417,0.018117586214206536,9,0.5695093934060493,0.553791089761703,0.5424382290557516,0.5552462374078346,0.011099551817505668
10,252.4875450929006,67.8204187920996,6.585385163625081,0.3400872907386483,constant,151,0.001,"{'miss_value__strategy': 'constant', 'clf__n_estimators': 151, 'clf__min_weight_fraction_leaf': 0.001}",0.4613320913940861,0.474393691414968,0.4924682106637397,0.47606466449093127,0.012766064234497361,10,0.592044919035444,0.5704738641914997,0.5566896457696011,0.5730694763321816,0.014549953922361114
