,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__n_components,param_miss_value__strategy,param_clf__n_estimators,param_clf__min_weight_fraction_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1,156.79912169774374,46.78109507075248,3.9922115008036294,0.09200332767145264,0.95,mean,134,0.0011,"{'reduce_dim__n_components': 0.95, 'miss_value__strategy': 'mean', 'clf__n_estimators': 134, 'clf__min_weight_fraction_leaf': 0.0011}",0.4918399966350502,0.47500317133009634,0.49341122910336327,0.4867514656895033,0.008332026889611942,1,0.5714122312032943,0.5577342709082973,0.5452037391199206,0.5581167470771707,0.01070298962395968
6,139.39378984769186,39.825245080406965,4.001393795013428,0.19150125013774552,0.92,mean,132,0.001,"{'reduce_dim__n_components': 0.92, 'miss_value__strategy': 'mean', 'clf__n_estimators': 132, 'clf__min_weight_fraction_leaf': 0.001}",0.5063481618640999,0.4550025602498133,0.49792682039717756,0.48642584750369694,0.02248402372657366,2,0.5734479962357464,0.5568716755246864,0.5437125611987256,0.5580107443197194,0.012166131472249363
2,74.27141292889912,19.57434293912138,2.3962181409200034,0.024099092694064298,0.9,constant,70,0.0015,"{'reduce_dim__n_components': 0.9, 'miss_value__strategy': 'constant', 'clf__n_estimators': 70, 'clf__min_weight_fraction_leaf': 0.0015}",0.49581273542787674,0.46248359874590833,0.4989277023961728,0.48574134552331927,0.01649480410462683,3,0.5608123175630473,0.544167309006821,0.5346446392770171,0.5465414219489618,0.01081400807338408
11,211.7950839996338,67.22052693964261,4.585974375406901,0.21870098905620286,0.97,constant,172,0.0014,"{'reduce_dim__n_components': 0.97, 'miss_value__strategy': 'constant', 'clf__n_estimators': 172, 'clf__min_weight_fraction_leaf': 0.0014}",0.49258007369987017,0.46760025880314515,0.49469914825929906,0.4849598269207715,0.012305515651392145,4,0.5667884709762175,0.5494797383644434,0.5390035220371312,0.5517572437925974,0.011456908254218265
7,203.00917752583823,51.29637539011159,4.746081034342448,0.05137049892008254,0.95,constant,193,0.0014,"{'reduce_dim__n_components': 0.95, 'miss_value__strategy': 'constant', 'clf__n_estimators': 193, 'clf__min_weight_fraction_leaf': 0.0014}",0.492734332253041,0.463261369312584,0.48650269150259867,0.48083279768940784,0.012682656346681535,5,0.5643974616389736,0.5487739129359225,0.536081376151675,0.549750916908857,0.011580618201787253
4,199.42483735084534,60.29844229687535,4.6722854773203535,0.10494791153473443,0.93,constant,180,0.0014,"{'reduce_dim__n_components': 0.93, 'miss_value__strategy': 'constant', 'clf__n_estimators': 180, 'clf__min_weight_fraction_leaf': 0.0014}",0.48738215963936143,0.46161215121462307,0.4908241092752032,0.4799394733763959,0.013035331667944499,6,0.5645732430314114,0.5485566158293498,0.5371773977878705,0.5501024188828773,0.011237592104545991
0,133.69535930951437,28.695447155027004,3.369753440221151,0.02181139750945966,0.95,mean,118,0.0019,"{'reduce_dim__n_components': 0.95, 'miss_value__strategy': 'mean', 'clf__n_estimators': 118, 'clf__min_weight_fraction_leaf': 0.0019}",0.4973992889918382,0.459817566270624,0.48155645946228576,0.4795911049082493,0.015405484620005986,7,0.5568995116606449,0.5405941344749051,0.5309558989542756,0.5428165150299419,0.010707380369417319
3,99.42040650049846,27.490910270464095,2.963909069697062,0.07385867692653249,0.9,constant,96,0.0013,"{'reduce_dim__n_components': 0.9, 'miss_value__strategy': 'constant', 'clf__n_estimators': 96, 'clf__min_weight_fraction_leaf': 0.0013}",0.490279815897421,0.46041512293000525,0.4876362079083858,0.479443715578604,0.013498460886082598,8,0.5639018872011696,0.5488081318010574,0.5393454307726533,0.5506851499249601,0.010112608824614278
10,107.14923238754272,30.054429386320166,3.2892943223317466,0.08479781727111334,0.91,constant,112,0.0015,"{'reduce_dim__n_components': 0.91, 'miss_value__strategy': 'constant', 'clf__n_estimators': 112, 'clf__min_weight_fraction_leaf': 0.0015}",0.48675922933894156,0.4705824687525529,0.47651231335629374,0.47795133714926274,0.0066820649440564725,9,0.5614463419310861,0.5459280787498141,0.5355085016987451,0.5476276407932151,0.01065705626440808
5,128.1562977631887,40.54559134274884,3.529486656188965,0.06604135254249774,0.87,mean,130,0.0012,"{'reduce_dim__n_components': 0.87, 'miss_value__strategy': 'mean', 'clf__n_estimators': 130, 'clf__min_weight_fraction_leaf': 0.0012}",0.4946655804353428,0.4533808390041821,0.4821617708893301,0.4767360634429516,0.01728556613150048,10,0.5661770591531259,0.5508672320271142,0.5405607345440261,0.5525350085747553,0.01052410346393267
13,173.35164864857992,51.986564848261196,3.887431542078654,0.0712537811034642,0.98,mean,147,0.0019,"{'reduce_dim__n_components': 0.98, 'miss_value__strategy': 'mean', 'clf__n_estimators': 147, 'clf__min_weight_fraction_leaf': 0.0019}",0.47894306242962786,0.46339452400058456,0.48744485872985205,0.4765941483866882,0.009958001741758298,11,0.5568740314367944,0.5409724091127155,0.5320682017535076,0.5433048807676725,0.010260364340020343
12,179.81677587827048,52.426286048771594,4.281643231709798,0.06588063513882784,0.93,constant,170,0.0015,"{'reduce_dim__n_components': 0.93, 'miss_value__strategy': 'constant', 'clf__n_estimators': 170, 'clf__min_weight_fraction_leaf': 0.0015}",0.4909719736371102,0.45764151757984955,0.4800770570227334,0.4762301827465644,0.013876326519621682,12,0.5634135570766173,0.5471244205715815,0.5353905917752342,0.5486428564744776,0.011490601427950702
8,163.88368566830954,48.63190693832848,4.210899829864502,0.10182923189077352,0.89,mean,172,0.0015,"{'reduce_dim__n_components': 0.89, 'miss_value__strategy': 'mean', 'clf__n_estimators': 172, 'clf__min_weight_fraction_leaf': 0.0015}",0.4879095402301907,0.44357965503308394,0.4854641594376785,0.4723177849003177,0.020345434426501226,13,0.5604531529270159,0.5458057122246495,0.5333934108615895,0.5465507586710849,0.011059648301139934
14,126.32741045951843,36.20811569256861,3.304210583368937,0.26528287233803804,0.93,mean,106,0.0016,"{'reduce_dim__n_components': 0.93, 'miss_value__strategy': 'mean', 'clf__n_estimators': 106, 'clf__min_weight_fraction_leaf': 0.0016}",0.47261081807161814,0.44785201204473923,0.48694958418310735,0.4691374714331549,0.016149368190570546,14,0.5610082927788231,0.5438806291904393,0.5349992387441045,0.5466293869044557,0.010794581192215588
9,109.89542190233867,29.914196863883923,3.20933198928833,0.019737510608076395,0.92,constant,109,0.0014,"{'reduce_dim__n_components': 0.92, 'miss_value__strategy': 'constant', 'clf__n_estimators': 109, 'clf__min_weight_fraction_leaf': 0.0014}",0.46859679397313037,0.4485086938527913,0.4879679497682383,0.4683578125313867,0.01611006007535475,15,0.5628790722980339,0.5479343746690517,0.5374571525760787,0.5494235331810547,0.010431736684841018
