,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_miss_value__strategy,param_clf__n_estimators,param_clf__min_weight_fraction_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
11,132.30662592252096,34.412005692131295,3.892248789469401,0.22788181953609404,43,constant,88,0.0013,"{'reduce_dim__k': 43, 'miss_value__strategy': 'constant', 'clf__n_estimators': 88, 'clf__min_weight_fraction_leaf': 0.0013}",0.5096737101508739,0.4990055339715778,0.497419214696512,0.5020328196063212,0.005441599547068684,1,0.5547113116983734,0.5402532711773333,0.5320530240923184,0.5423392023226751,0.00936706396074411
12,173.99581623077393,58.74956997423004,4.981048822402954,0.47231248099445305,47,constant,126,0.0011,"{'reduce_dim__k': 47, 'miss_value__strategy': 'constant', 'clf__n_estimators': 126, 'clf__min_weight_fraction_leaf': 0.0011}",0.5100791527397762,0.499510032124403,0.4962375527327454,0.5019422458656415,0.005906731778288294,2,0.5596034388411049,0.5476658373775017,0.535428702648996,0.5475659929558675,0.0098695472429392
15,133.7890258630117,50.35776141210747,3.801405668258667,0.045392723793208696,41,mean,80,0.0014,"{'reduce_dim__k': 41, 'miss_value__strategy': 'mean', 'clf__n_estimators': 80, 'clf__min_weight_fraction_leaf': 0.0014}",0.5077564738823493,0.4990118373648997,0.4949303557458134,0.5005662223310208,0.005350352703655565,3,0.5510252957951702,0.5402175901918794,0.5287856739381109,0.5400095199750535,0.009080479612795605
17,357.7207941214244,179.87951292719578,7.044209241867065,1.492952060959733,47,mean,182,0.0013,"{'reduce_dim__k': 47, 'miss_value__strategy': 'mean', 'clf__n_estimators': 182, 'clf__min_weight_fraction_leaf': 0.0013}",0.5074267668241463,0.4982192404853605,0.49357216586210134,0.4997393910572027,0.005757350969278535,4,0.5550106073859581,0.541159088562533,0.5316754612071497,0.5426150523852136,0.009582001697150929
0,131.80428910255432,37.36421085883367,5.023388544718425,0.7343963571323155,47,constant,123,0.0013,"{'reduce_dim__k': 47, 'miss_value__strategy': 'constant', 'clf__n_estimators': 123, 'clf__min_weight_fraction_leaf': 0.0013}",0.5056738311093001,0.4991459773342642,0.49400442149502777,0.4996080766461974,0.004775209036749745,5,0.5523404495810786,0.5422554437362906,0.5312176632280474,0.5419378521818056,0.008626265090816562
4,141.52758566538492,39.33214524889898,3.9277478059132895,0.3790423637140105,41,mean,96,0.0015,"{'reduce_dim__k': 41, 'miss_value__strategy': 'mean', 'clf__n_estimators': 96, 'clf__min_weight_fraction_leaf': 0.0015}",0.5062119453257365,0.4949284690932497,0.49509596323076643,0.49874545921658414,0.005280045750126851,6,0.5505214436018899,0.5353649837867642,0.529280056388146,0.5383888279256,0.00893147459728906
7,159.5700421333313,42.68467816430284,4.481213013331096,0.189079612315791,46,constant,112,0.0016,"{'reduce_dim__k': 46, 'miss_value__strategy': 'constant', 'clf__n_estimators': 112, 'clf__min_weight_fraction_leaf': 0.0016}",0.5052504224331127,0.49563902598429893,0.49401136772129806,0.49830027204623656,0.0049592177242937935,7,0.5481420144093614,0.5376019575263853,0.5278356940930304,0.537859888676259,0.008292026594100912
14,102.09148979187012,28.230285517351522,3.201752503712972,0.27113880441360766,38,mean,69,0.0019,"{'reduce_dim__k': 38, 'miss_value__strategy': 'mean', 'clf__n_estimators': 69, 'clf__min_weight_fraction_leaf': 0.0019}",0.503750233191672,0.49654038288497937,0.4927878276806437,0.49769281458576503,0.0045489674847367005,8,0.5420053214288603,0.5327725599552197,0.524272387017485,0.533016756133855,0.007241499132996296
16,175.5719071229299,47.42736382494008,5.342769543329875,0.09111270950339925,30,constant,130,0.001,"{'reduce_dim__k': 30, 'miss_value__strategy': 'constant', 'clf__n_estimators': 130, 'clf__min_weight_fraction_leaf': 0.001}",0.5062759696392175,0.4945293700793533,0.4903839352379455,0.4970630916521721,0.006730725473985141,9,0.5563643612683417,0.5443549295078954,0.5330615740344267,0.5445936216035546,0.009514820147351727
18,51.43526260058085,14.527969094025524,2.0258891582489014,0.04322932642803252,32,mean,58,0.0016,"{'reduce_dim__k': 32, 'miss_value__strategy': 'mean', 'clf__n_estimators': 58, 'clf__min_weight_fraction_leaf': 0.0016}",0.5034006998208274,0.4926969127740284,0.4930549407052867,0.4963841844333808,0.0049635781540199285,10,0.5441553008792865,0.5331221455669104,0.5266470615650964,0.5346415026704311,0.007227998592360688
