,mean_fit_time,mean_score_time,mean_test_score,param_miss_values__strategy,param_reduce_dim,param_reduce_dim__n_components,param_scaler,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
0,24.99219079017639,1.639477014541626,0.5659428053546903,mean,PCA(n_components=0.85),0.85,StandardScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.85, 'scaler': StandardScaler()}",1,0.5498829039812647,0.5242893329580637,0.5968069062353737,0.6195242814667988,0.5392106021319504,13.11283416391624,0.09426095446766553,0.03614169389911884
6,23.436414909362792,1.7170940399169923,0.5621121268061351,constant,PCA(n_components=0.85),0.85,StandardScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.85, 'scaler': StandardScaler()}",2,0.5313513182847006,0.529882932840419,0.592367372614804,0.6205344034452384,0.5364246068455134,10.379509409754696,0.07476900513984773,0.0373452521023445
8,26.42636070251465,1.7134254455566407,0.5613163956987635,constant,PCA(n_components=0.85),0.9,StandardScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.9, 'scaler': StandardScaler()}",3,0.5213659264788207,0.5194805194805195,0.590899537620849,0.6178316485411776,0.5570043463724508,11.340681914661923,0.10433726496217414,0.03855907257457996
10,24.50150318145752,1.8233065605163574,0.5598908417028727,constant,PCA(n_components=0.85),0.95,StandardScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.95, 'scaler': StandardScaler()}",4,0.5529625080423466,0.5598165663513901,0.6024734083159449,0.5468362125740919,0.5373655132305903,11.944446706471899,0.18998816967485327,0.022534844432435617
2,24.225434160232545,1.7134321689605714,0.5560374571452475,mean,PCA(n_components=0.85),0.9,StandardScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.9, 'scaler': StandardScaler()}",5,0.5217445097432725,0.5123621590249565,0.5779965382951104,0.6160019337684314,0.5520821448944666,11.985412005906023,0.08133391299208627,0.037886995404889864
4,25.14198179244995,1.8341388702392578,0.5538832928628054,mean,PCA(n_components=0.85),0.95,StandardScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.95, 'scaler': StandardScaler()}",6,0.5455186600058771,0.5587243527461849,0.5907992857893078,0.5324844752909252,0.5418896904817315,12.092397342355724,0.23759592441201036,0.02028767788055182
3,24.221080207824706,1.6200331687927245,0.5428253606317571,mean,PCA(n_components=0.85),0.9,RobustScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.9, 'scaler': RobustScaler()}",7,0.5744834081214337,0.5112429901453694,0.5486205336951606,0.5589214193038867,0.5208584518929346,11.525820041908137,0.04285941994309877,0.02355797237263541
9,24.442370891571045,1.7341525077819824,0.5417961164544669,constant,PCA(n_components=0.85),0.9,RobustScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.9, 'scaler': RobustScaler()}",8,0.5737659609750704,0.5047629475528304,0.5461742916925861,0.5648812191842222,0.519396162867625,10.47659501811803,0.1319358837746976,0.026257855452113395
7,23.14148931503296,1.6017843723297118,0.5403346252303989,constant,PCA(n_components=0.85),0.85,RobustScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.85, 'scaler': RobustScaler()}",9,0.5659334461364918,0.47299016772700986,0.5611763414901789,0.5586397162321941,0.5429334545661193,11.245320503365646,0.042629001626781717,0.034544993835174946
1,25.543965291976928,1.6499194145202636,0.539412858169867,mean,PCA(n_components=0.85),0.85,RobustScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.85, 'scaler': RobustScaler()}",10,0.5671508379888267,0.477794968769698,0.5555923595009384,0.5573346817236924,0.5391914428661797,13.319465525992067,0.018557436899737233,0.03209104817896035
5,24.044834852218628,1.7100793361663817,0.5379080904845222,mean,PCA(n_components=0.85),0.95,RobustScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.95, 'scaler': RobustScaler()}",11,0.5719853023048658,0.4821836455002284,0.547505870225073,0.5729910714285714,0.5148745629638717,11.890736900745441,0.1427513094268312,0.034985558312450475
11,24.8906099319458,1.7558602809906005,0.5345870187102802,constant,PCA(n_components=0.85),0.95,RobustScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.95, 'scaler': RobustScaler()}",12,0.5708598285872271,0.4627790113357485,0.5542333314354041,0.5694514202801496,0.5156115019128719,11.354083359657293,0.11620934684292479,0.041069894077577405
