,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__reg_lambda,param_clf__reg_alpha,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__gamma,param_clf__eta,param_clf__colsample_bytree,params,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,mean_train_recall,std_train_recall,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
6,0,91.02774882316591,14.039859530810096,1.6716307004292803,0.632207302987116,0.7,0.01,0.031622776601683784,62,7,3,4.8,0.038,0.9,"{'clf__subsample': 0.7, 'clf__reg_lambda': 0.01, 'clf__reg_alpha': 0.03162277660168379, 'clf__n_estimators': 62, 'clf__min_child_weight': 7, 'clf__max_depth': 3, 'clf__gamma': 4.8, 'clf__eta': 0.038, 'clf__colsample_bytree': 0.9}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5947624855312991,0.5796787138163448,0.5695653037488883,0.5813355010321773,0.010353202414482631,1.0,0.6120286439193623,0.5941162007923095,0.5878125661886549,0.5979858036334422,0.010257841708533456
0,0,133.85613989830014,19.27503570165273,4.474093119303387,2.069518896995166,0.7,0.5011872336272722,0.6309573444801932,75,1,5,2.8,0.018000000000000002,0.9,"{'clf__subsample': 0.7, 'clf__reg_lambda': 0.5011872336272722, 'clf__reg_alpha': 0.6309573444801932, 'clf__n_estimators': 75, 'clf__min_child_weight': 1, 'clf__max_depth': 5, 'clf__gamma': 2.8, 'clf__eta': 0.018, 'clf__colsample_bytree': 0.9}",0.5861904560988989,0.553299235326885,0.5427826767274492,0.5607574560510776,0.018489233259173597,1.0,0.6195216644326793,0.5821571515014544,0.5767653027058391,0.5928147062133243,0.019012526070224956,0.5098309040468537,0.5152668810289389,0.5118761889522997,0.512324658009364,0.0022417708489492877,1.0,0.5461580175294786,0.5384024124451966,0.5348738112301226,0.5398114137349326,0.004713264362588111,0.6894527373059669,0.5973934308891363,0.5776611859594916,0.6215024513848649,0.04871872596897764,1.0,0.7156530303330756,0.6336526615867751,0.625776307347603,0.6583606664224846,0.04063922949460635,0.5096149999999999,0.514845,0.514945,0.513135,0.0024893506516090805,1.0,0.5517601100153023,0.5384266921153404,0.5346174603766977,0.5416014208357801,0.007349684165290226,0.5175482654840462,0.5206618263726318,0.5233099109764643,0.5205066676110475,0.0023547392461512892,1.0,0.5868239707613156,0.5606079350167602,0.5532970083059775,0.5669096380280177,0.01439439470770904,,,,,,,,,,,
1,0,93.9066219329834,16.07582333246825,3.5435434182484946,1.3862422351553632,0.8,0.00316227766016838,0.025118864315095798,62,9,3,1.6,0.04,0.6,"{'clf__subsample': 0.8, 'clf__reg_lambda': 0.0031622776601683794, 'clf__reg_alpha': 0.025118864315095794, 'clf__n_estimators': 62, 'clf__min_child_weight': 9, 'clf__max_depth': 3, 'clf__gamma': 1.6, 'clf__eta': 0.04, 'clf__colsample_bytree': 0.6}",0.5937086009948259,0.582067202808938,0.5741496361269162,0.5833084799768934,0.008033009126174223,1.0,0.6153155684930646,0.5966075979416112,0.5911970938582412,0.6010400867643056,0.010333131908256354,0.511591258274342,0.5131402256295093,0.5079039869122169,0.5108784902720228,0.0021962965259675407,1.0,0.5332417322777402,0.5266270661941335,0.5235495335309447,0.5278061106676062,0.004043701978770267,0.7072283536464331,0.672384483855575,0.6602680497176048,0.6799602957398708,0.01990581540742401,1.0,0.7272501933411329,0.6880369942013057,0.6789199891794971,0.6980690589073119,0.02096717911841385,0.512365,0.51436,0.5118275,0.5128508333333333,0.0010894691622784073,1.0,0.536312802087055,0.5278636804741829,0.5242167920698851,0.5294644248770409,0.0050662380235127575,0.5194584221438758,0.5196955695588089,0.5202694430856066,0.5198078115960971,0.00034047755499437587,1.0,0.5578266928454857,0.5431981261790803,0.537342672214735,0.546122497079767,0.00861443494660146,,,,,,,,,,,
2,0,145.7346364657084,19.63212086980101,4.513735771179199,1.90006213654394,0.6,0.199526231496888,0.0039810717055349725,78,7,6,2.1,0.003,0.7,"{'clf__subsample': 0.6, 'clf__reg_lambda': 0.19952623149688797, 'clf__reg_alpha': 0.003981071705534973, 'clf__n_estimators': 78, 'clf__min_child_weight': 7, 'clf__max_depth': 6, 'clf__gamma': 2.1, 'clf__eta': 0.003, 'clf__colsample_bytree': 0.7}",0.5908540069445752,0.5593564557065199,0.5498615149937094,0.5666906592149349,0.017520255038337474,1.0,0.6245902034690313,0.593068395636668,0.5819968584293561,0.5998851525116852,0.018044378462317563,0.5109113877316114,0.5136406162290277,0.5085544037917278,0.5110354692507889,0.0020782903882577944,1.0,0.5471468799475082,0.5362018846112528,0.5329472471932605,0.5387653372506739,0.006073761034965192,0.7004545634999404,0.6140050898679815,0.5984721567368558,0.6376439367015926,0.044864233208017,1.0,0.7275707760746132,0.6634277563635859,0.6409901609903876,0.6773295644761955,0.03668783566515902,0.5112925,0.5134425,0.51162,0.5121183333333333,0.0009458248898301599,1.0,0.5540150192459368,0.5380159698481536,0.5334275412452669,0.5418195101131191,0.008824634138494604,0.5199450304052897,0.5196655273309371,0.5199818143452541,0.5198641240271603,0.00014122971918808095,1.0,0.5899589108490756,0.5610509627878123,0.5529377511051582,0.5679825415806821,0.01588870994590149,,,,,,,,,,,
3,0,133.83714834849042,20.15326252241965,3.736533721288045,1.5260746398301699,0.9,1.0,0.12589254117941673,94,4,3,1.1,0.015,0.8,"{'clf__subsample': 0.9, 'clf__reg_lambda': 1.0, 'clf__reg_alpha': 0.12589254117941673, 'clf__n_estimators': 94, 'clf__min_child_weight': 4, 'clf__max_depth': 3, 'clf__gamma': 1.1, 'clf__eta': 0.015, 'clf__colsample_bytree': 0.8}",0.5920952057633311,0.5924869214534182,0.568801271635776,0.5844611329508418,0.011074348817599016,1.0,0.6110589285989253,0.606726029509194,0.5852289523609951,0.6010046368230381,0.011294472654501023,0.5101587426918425,0.5114901639285057,0.5074324510370816,0.5096937858858098,0.0016888649247180434,1.0,0.5300207139891063,0.5231101071152459,0.5228496256269731,0.5253268155771084,0.003320790506094439,0.7053872722220017,0.7039625417528232,0.6470561680527271,0.6854686606758508,0.027167960988004385,1.0,0.721350810049773,0.7221586298972978,0.6645091754748487,0.7026728718073065,0.026987823569695958,0.5103725,0.5129475,0.5110325,0.5114508333333333,0.0010920648128914104,1.0,0.5317456839891332,0.5249362776482526,0.5226988916097065,0.5264602844156975,0.0038473419880506897,0.5177669465574568,0.5186447209053467,0.5191389281001745,0.5185168651876593,0.0005673585884303447,1.0,0.5510605859612133,0.5391663300736247,0.5343528064693032,0.5415265741680471,0.007022133485226797,,,,,,,,,,,
4,0,154.90255443255106,20.237525138390158,4.61830457051595,1.8202145529822744,0.9,0.01,0.006309573444801929,76,1,6,2.7,0.038,0.7,"{'clf__subsample': 0.9, 'clf__reg_lambda': 0.01, 'clf__reg_alpha': 0.00630957344480193, 'clf__n_estimators': 76, 'clf__min_child_weight': 1, 'clf__max_depth': 6, 'clf__gamma': 2.7, 'clf__eta': 0.038, 'clf__colsample_bytree': 0.7}",0.5934453267917768,0.5588330867799676,0.5592521920857753,0.5705102018858398,0.016218484889214818,1.0,0.6372772177128168,0.6029079124897091,0.5915749768328178,0.6105867023451146,0.019431873568889688,0.5131654202292093,0.5147373400367544,0.5110855539040249,0.5129961047233295,0.0014956350479974347,1.0,0.5659712780203486,0.5536691187210367,0.5485438831959897,0.5560614266457917,0.007313042025320575,0.7035015284449562,0.6111917448703674,0.6174422920658488,0.6440451884603907,0.042119351121393964,1.0,0.7291406399756754,0.6617593670833342,0.6419319979548683,0.6776106683379594,0.037325457124925486,0.514405,0.5146425,0.514935,0.5146608333333332,0.00021675959545595157,1.0,0.5767545485799802,0.5576591649452571,0.5508406943730748,0.5617514692994374,0.010967897889131387,0.5221261767781571,0.5209650915884858,0.5245447727104665,0.5225453470257032,0.0014911532463358953,1.0,0.6248912454613443,0.5929533870509954,0.5794349079178865,0.5990931801434088,0.01905854926499614,,,,,,,,,,,
5,0,108.11468307177228,19.227770078722514,3.811159372329712,1.4927954106520482,0.9,0.01,0.00316227766016838,64,9,4,3.4,0.040999999999999995,0.9,"{'clf__subsample': 0.9, 'clf__reg_lambda': 0.01, 'clf__reg_alpha': 0.0031622776601683794, 'clf__n_estimators': 64, 'clf__min_child_weight': 9, 'clf__max_depth': 4, 'clf__gamma': 3.4, 'clf__eta': 0.041, 'clf__colsample_bytree': 0.9}",0.5886958967835115,0.5541812980773639,0.5628981554614946,0.56859178344079,0.01465440617781476,1.0,0.6143179734771833,0.5813863795622818,0.5791920384061351,0.5916321304818667,0.016066308175464696,0.5101584159856792,0.5142157112960033,0.5104498687899701,0.5116079986905508,0.0018477662115391864,1.0,0.5414535398174315,0.5347238066371675,0.5312384407664991,0.5358052624070327,0.0042398287773384785,0.6958146413116837,0.6008827739780499,0.6273587271651134,0.6413520474849491,0.039998955145043515,1.0,0.7098428814108284,0.6369715858030189,0.6366619598423379,0.6611588090187284,0.034425069794829344,0.51018,0.51375,0.5143875,0.5127725000000001,0.0018515567774173387,1.0,0.5455009673526894,0.5345369106437468,0.5312091817547647,0.5370823532504003,0.00610591202262676,0.5188347870258837,0.5197149191119411,0.5238889140198082,0.5208128733858777,0.002204567623279859,1.0,0.5750650983679034,0.5541687357446393,0.5480247416285593,0.5590861919137007,0.011573857165431876,,,,,,,,,,,
7,0,155.55318506558737,25.331747937484824,5.435172080993652,1.032206307654867,0.7,0.5011872336272722,0.05011872336272722,91,5,5,3.3,0.013999999999999999,0.9,"{'clf__subsample': 0.7, 'clf__reg_lambda': 0.5011872336272722, 'clf__reg_alpha': 0.05011872336272722, 'clf__n_estimators': 91, 'clf__min_child_weight': 5, 'clf__max_depth': 5, 'clf__gamma': 3.3, 'clf__eta': 0.014, 'clf__colsample_bytree': 0.9}",0.5886798960269859,0.5436987620680745,0.5263121936222179,0.5528969505724262,0.0262791118524912,1.0,0.6196161359319997,0.5761292412595189,0.5744112289162941,0.5900522020359376,0.020916620698397025,0.5108140264821385,0.5154369649840108,0.5124368653872652,0.5128959522844715,0.0019150214415532985,1.0,0.5451892920725078,0.5386752822679466,0.5345082214116462,0.5394575985840335,0.004395477352111768,0.6945541704712375,0.5752395816764753,0.5409598427013633,0.6035845316163587,0.06582999073923047,1.0,0.7175765267339559,0.619180723656411,0.6207527047716435,0.6525033183873369,0.0460181820193464,0.511035,0.51437,0.5146725000000001,0.5133591666666667,0.0016480674709758814,1.0,0.5507354576892742,0.5376747079643879,0.5338832702250368,0.540764478626233,0.007218451710237639,0.5187995675379632,0.5202464888290461,0.5223693226620865,0.5204717930096986,0.0014660285108450215,1.0,0.5846258318511728,0.5601417817035959,0.5524352868526546,0.5657343001358077,0.013723823413718151,,,,,,,,,,,
8,0,143.6047826608022,19.933748559888308,4.499538103739421,1.89050146165865,0.9,0.005011872336272725,0.5011872336272722,61,6,7,0.9,0.017,0.6,"{'clf__subsample': 0.9, 'clf__reg_lambda': 0.005011872336272725, 'clf__reg_alpha': 0.5011872336272722, 'clf__n_estimators': 61, 'clf__min_child_weight': 6, 'clf__max_depth': 7, 'clf__gamma': 0.9, 'clf__eta': 0.017, 'clf__colsample_bytree': 0.6}",0.5969209716045158,0.5426056710419628,0.5399670370062962,0.5598312265509251,0.026248523621959164,1.0,0.6431346574568686,0.600766505432053,0.5852457284707001,0.6097156304532073,0.024465583360775752,0.5126592421905884,0.5146337005318509,0.5120929835056833,0.5131286420760409,0.0010890555361141978,1.0,0.5679260857235456,0.5523516647363447,0.5481361293968808,0.556137959952257,0.008511271602972761,0.7143296677120966,0.5737931445840624,0.5710502292266485,0.6197243471742692,0.06690543526357826,1.0,0.7413029539881153,0.6584840868197247,0.6277449590477957,0.6758439999518786,0.047957477635111705,0.5139925,0.5134525,0.5150275,0.5141574999999999,0.0006534906273237571,1.0,0.5804992483635898,0.5558974885541368,0.5491369139038247,0.5618445502738504,0.013476514460722773,0.5205696404039999,0.5197731786037267,0.5226178809098234,0.5209868999725167,0.001198238140832074,1.0,0.6304003534589897,0.5908710179133728,0.5779608578971897,0.5997440764231841,0.022308795712049124,,,,,,,,,,,
9,0,159.81587815284732,25.3626976575908,4.567389170328776,1.811895980769124,0.8,0.0039810717055349725,0.0039810717055349725,83,6,6,3.8,0.023,0.6,"{'clf__subsample': 0.8, 'clf__reg_lambda': 0.003981071705534973, 'clf__reg_alpha': 0.003981071705534973, 'clf__n_estimators': 83, 'clf__min_child_weight': 6, 'clf__max_depth': 6, 'clf__gamma': 3.8, 'clf__eta': 0.023, 'clf__colsample_bytree': 0.6}",0.5835200941831221,0.5452922572332201,0.5437562517317003,0.5575228677160141,0.018393507300344617,1.0,0.6346341847433246,0.5956512257339429,0.5893490171848248,0.6065448092206974,0.02002813389688811,0.5130673070770111,0.5157134880752972,0.5111691889314662,0.5133166613612582,0.0018635623317470734,1.0,0.559727927568542,0.5476161952966154,0.5439343677033129,0.5504261635228235,0.006746904197648336,0.6764014053753623,0.5784704549069508,0.5807810760109547,0.611884312097756,0.04563022562742877,1.0,0.732686879903759,0.6529234504908953,0.6430381252770629,0.6762161518905724,0.04013425183389936,0.5135774999999999,0.51477,0.514235,0.5141941666666666,0.0004876915578062922,1.0,0.5698128661278253,0.5501755636357779,0.5459059030897707,0.5552981109511247,0.0104104463136538,0.5208222521791722,0.5218786461427841,0.5231331106498156,0.5219446696572573,0.0009445584669334887,1.0,0.6148185882782655,0.5822624467258204,0.5720461542639395,0.5897090630893418,0.0182384090922896,,,,,,,,,,,
