,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__eta,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
7,32.837318658828735,9.928133030353962,0.777607282002767,0.03629875527118271,0.01,5,60,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.510805,0.51304,0.5146325,0.5128258333333334,0.001569891627540688,1,0.5439741005642329,0.5324933660300472,0.5279645349554892,0.5348106671832564,0.006738148173950356
2,47.253177642822266,14.395208509685117,0.9417218367258707,0.06259342762871602,0.005,5,100,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.510995,0.512915,0.514185,0.5126983333333333,0.0013112928310979662,2,0.5429595599387905,0.5311856988117241,0.5272568990908386,0.533800719280451,0.006671938172442666
8,48.83092506726583,11.760479685423089,0.9226893583933512,0.0425664924639892,0.01,5,100,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.5087475,0.5137375,0.5147675,0.5124175000000001,0.002628928805933446,3,0.5486120005662553,0.5351056804500227,0.531452476438453,0.5383900524849103,0.007380272886590807
11,113.26271208127339,21.094489577926637,1.5108669598897297,0.10017126635474692,0.01,10,100,"{'clf__eta': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 100}",0.5100075,0.5132375,0.51351,0.5122516666666667,0.001590760213091735,4,0.6423407238629393,0.6031617561195605,0.5868949569820551,0.6107991456548515,0.023270948346778793
1,34.08973256746928,10.601894904111331,0.7850097020467123,0.03666824733788144,0.005,5,60,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.511485,0.511885,0.513165,0.5121783333333333,0.0007165348716023658,5,0.5404569140438039,0.5284888239249748,0.5265672053120057,0.5318376477602614,0.006145023350830922
6,22.90540051460266,7.0889837026182665,0.6788347562154134,0.042799106228369015,0.01,5,30,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 30}",0.511435,0.511685,0.5130225,0.5120475,0.0006969427283979094,6,0.5404147819580297,0.5287797521975655,0.5262392239832578,0.531811252712951,0.0061713913885020994
10,72.29160078366597,14.016509086208861,1.1108511288960774,0.043904067109866045,0.01,10,60,"{'clf__eta': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 60}",0.5100325,0.513335,0.512545,0.5119708333333334,0.0014080428694546983,7,0.6232650007078191,0.5851423233189581,0.5710068811487529,0.5931380683918434,0.02207074563632958
3,42.17116673787435,9.861890268999039,0.8414873282114664,0.042790446139905645,0.005,10,30,"{'clf__eta': 0.005, 'clf__max_depth': 10, 'clf__n_estimators': 30}",0.5114725,0.5128975,0.510865,0.511745,0.0008518435889293277,8,0.5934826719157628,0.5627307796072367,0.554132708278909,0.5701153866006362,0.016891895983787625
5,109.4883902867635,21.08761650398489,1.5352483590443928,0.08778122399345051,0.005,10,100,"{'clf__eta': 0.005, 'clf__max_depth': 10, 'clf__n_estimators': 100}",0.5107075,0.5122825,0.5121725,0.5117208333333334,0.0007179407279775268,9,0.6166704866424435,0.5822149204930278,0.5672289955589749,0.5887048008981487,0.020699503551112143
9,42.772270917892456,9.491443663310974,0.8479377428690592,0.04527988631756486,0.01,10,30,"{'clf__eta': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 30}",0.5111925,0.5125675,0.5113025,0.5116875,0.0006238723159963302,10,0.6003164962283357,0.5741454359494731,0.5605071725282265,0.5783230349020118,0.016518369837269238
